NREL 5MW reference turbine — land-based — section properties
11         n_secs:     number of stations at which properties are specified (-)

sec_loc  str_tw  tw_iner   mass_den  flp_iner  edge_iner  flp_stff   edge_stff   tor_stff   axial_stff  cg_offst  sc_offst tc_offst
(-)      (deg)   (deg)     (kg/m)    (kg-m)    (kg-m)     (Nm^2)     (Nm^2)      (Nm^2)     (N)         (m)       (m)      (m)
0.000000  0.0     0.0       5.5909e+03  8.945e-02  8.945e-02  6.1434e+11  6.1434e+11  6.1434e+13  6.1434e+17  0.0       0.0      0.0
0.100000  0.0     0.0       5.2324e+03  8.372e-02  8.372e-02  5.3482e+11  5.3482e+11  5.3482e+13  5.3482e+17  0.0       0.0      0.0
0.200000  0.0     0.0       4.8858e+03  7.817e-02  7.817e-02  4.6327e+11  4.6327e+11  4.6327e+13  4.6327e+17  0.0       0.0      0.0
0.300000  0.0     0.0       4.5509e+03  7.281e-02  7.281e-02  3.9913e+11  3.9913e+11  3.9913e+13  3.9913e+17  0.0       0.0      0.0
0.400000  0.0     0.0       4.2278e+03  6.764e-02  6.764e-02  3.4188e+11  3.4188e+11  3.4188e+13  3.4188e+17  0.0       0.0      0.0
0.500000  0.0     0.0       3.9164e+03  6.266e-02  6.266e-02  2.9101e+11  2.9101e+11  2.9101e+13  2.9101e+17  0.0       0.0      0.0
0.600000  0.0     0.0       3.6168e+03  5.787e-02  5.787e-02  2.4603e+11  2.4603e+11  2.4603e+13  2.4603e+17  0.0       0.0      0.0
0.700000  0.0     0.0       3.3290e+03  5.326e-02  5.326e-02  2.0646e+11  2.0646e+11  2.0646e+13  2.0646e+17  0.0       0.0      0.0
0.800000  0.0     0.0       3.0530e+03  4.885e-02  4.885e-02  1.7185e+11  1.7185e+11  1.7185e+13  1.7185e+17  0.0       0.0      0.0
0.900000  0.0     0.0       2.7888e+03  4.462e-02  4.462e-02  1.4178e+11  1.4178e+11  1.4178e+13  1.4178e+17  0.0       0.0      0.0
1.000000  0.0     0.0       2.5363e+03  4.058e-02  4.058e-02  1.1582e+11  1.1582e+11  1.1582e+13  1.1582e+17  0.0       0.0      0.0
