NREL 5MW on the OC3 monopile substructure — section properties
11         n_secs:     number of stations at which properties are specified (-)

sec_loc  str_tw  tw_iner   mass_den  flp_iner  edge_iner  flp_stff   edge_stff   tor_stff   axial_stff  cg_offst  sc_offst tc_offst
(-)      (deg)   (deg)     (kg/m)    (kg-m)    (kg-m)     (Nm^2)     (Nm^2)      (Nm^2)     (N)         (m)       (m)      (m)
0.000000  0.0     0.0       4.3065e+03  6.890e-02  6.890e-02  4.7449e+11  4.7449e+11  4.7449e+13  4.7449e+17  0.0       0.0      0.0
0.100000  0.0     0.0       4.0304e+03  6.449e-02  6.449e-02  4.1308e+11  4.1308e+11  4.1308e+13  4.1308e+17  0.0       0.0      0.0
0.200000  0.0     0.0       3.7634e+03  6.022e-02  6.022e-02  3.5783e+11  3.5783e+11  3.5783e+13  3.5783e+17  0.0       0.0      0.0
0.300000  0.0     0.0       3.5055e+03  5.609e-02  5.609e-02  3.0830e+11  3.0830e+11  3.0830e+13  3.0830e+17  0.0       0.0      0.0
0.400000  0.0     0.0       3.2567e+03  5.211e-02  5.211e-02  2.6408e+11  2.6408e+11  2.6408e+13  2.6408e+17  0.0       0.0      0.0
0.500000  0.0     0.0       3.0169e+03  4.827e-02  4.827e-02  2.2480e+11  2.2480e+11  2.2480e+13  2.2480e+17  0.0       0.0      0.0
0.600000  0.0     0.0       2.7861e+03  4.458e-02  4.458e-02  1.9006e+11  1.9006e+11  1.9006e+13  1.9006e+17  0.0       0.0      0.0
0.700000  0.0     0.0       2.5645e+03  4.103e-02  4.103e-02  1.5949e+11  1.5949e+11  1.5949e+13  1.5949e+17  0.0       0.0      0.0
0.800000  0.0     0.0       2.3519e+03  3.763e-02  3.763e-02  1.3277e+11  1.3277e+11  1.3277e+13  1.3277e+17  0.0       0.0      0.0
0.900000  0.0     0.0       2.1483e+03  3.437e-02  3.437e-02  1.0954e+11  1.0954e+11  1.0954e+13  1.0954e+17  0.0       0.0      0.0
1.000000  0.0     0.0       1.9539e+03  3.126e-02  3.126e-02  8.9490e+10  8.9490e+10  8.9490e+12  8.9490e+16  0.0       0.0      0.0
