IEA-3.4-130-RWT — land-based — blade section properties
30         n_secs:     number of stations at which properties are specified (-)

sec_loc  str_tw  tw_iner   mass_den  flp_iner  edge_iner  flp_stff   edge_stff   tor_stff   axial_stff  cg_offst  sc_offst tc_offst
(-)      (deg)   (deg)     (kg/m)    (kg-m)    (kg-m)     (Nm^2)     (Nm^2)      (Nm^2)     (N)         (m)       (m)      (m)
0.000000   19.9962   19.9962  9.8399e+02  1.574e-02  1.574e-02  9.2850e+09  9.2853e+09  9.2853e+11  9.2853e+15  0.0       0.0      0.0
0.034483   19.4608   19.4608  7.3652e+02  1.178e-02  1.178e-02  7.1197e+09  7.2656e+09  7.2656e+11  7.2656e+15  0.0       0.0      0.0
0.068966   18.7583   18.7583  5.5181e+02  8.829e-03  8.829e-03  5.6057e+09  6.9175e+09  6.9175e+11  6.9175e+15  0.0       0.0      0.0
0.103448   17.7812   17.7812  4.1225e+02  6.596e-03  6.596e-03  3.7284e+09  6.0013e+09  6.0013e+11  6.0013e+15  0.0       0.0      0.0
0.137931   15.9306   15.9306  3.6374e+02  5.820e-03  5.820e-03  2.9916e+09  6.0469e+09  6.0469e+11  6.0469e+15  0.0       0.0      0.0
0.172414   13.5025   13.5025  3.0975e+02  4.956e-03  4.956e-03  2.5447e+09  5.4699e+09  5.4699e+11  5.4699e+15  0.0       0.0      0.0
0.206897   11.3977   11.3977  2.7266e+02  4.363e-03  4.363e-03  2.2772e+09  4.5275e+09  4.5275e+11  4.5275e+15  0.0       0.0      0.0
0.241379    9.6610    9.6610  2.8173e+02  4.508e-03  4.508e-03  2.2788e+09  4.0648e+09  4.0648e+11  4.0648e+15  0.0       0.0      0.0
0.275862    7.9380    7.9380  2.9463e+02  4.714e-03  4.714e-03  2.2752e+09  3.5920e+09  3.5920e+11  3.5920e+15  0.0       0.0      0.0
0.310345    6.3697    6.3697  2.9772e+02  4.764e-03  4.764e-03  2.1174e+09  3.1478e+09  3.1478e+11  3.1478e+15  0.0       0.0      0.0
0.344828    4.9426    4.9426  2.7595e+02  4.415e-03  4.415e-03  1.6889e+09  2.7847e+09  2.7847e+11  2.7847e+15  0.0       0.0      0.0
0.379310    3.7790    3.7790  2.5337e+02  4.054e-03  4.054e-03  1.3153e+09  2.3753e+09  2.3753e+11  2.3753e+15  0.0       0.0      0.0
0.413793    2.8852    2.8852  2.3551e+02  3.768e-03  3.768e-03  1.0499e+09  2.0445e+09  2.0445e+11  2.0445e+15  0.0       0.0      0.0
0.448276    2.2650    2.2650  2.2434e+02  3.589e-03  3.589e-03  8.6077e+08  1.8041e+09  1.8041e+11  1.8041e+15  0.0       0.0      0.0
0.482759    1.7441    1.7441  2.1427e+02  3.428e-03  3.428e-03  6.9567e+08  1.5608e+09  1.5608e+11  1.5608e+15  0.0       0.0      0.0
0.517241    1.3590    1.3590  2.0229e+02  3.237e-03  3.237e-03  5.4981e+08  1.2157e+09  1.2157e+11  1.2157e+15  0.0       0.0      0.0
0.551724    1.0452    1.0452  1.8636e+02  2.982e-03  2.982e-03  4.2042e+08  8.1944e+08  8.1944e+10  8.1944e+14  0.0       0.0      0.0
0.586207    0.7233    0.7233  1.7111e+02  2.738e-03  2.738e-03  3.1054e+08  5.3837e+08  5.3837e+10  5.3837e+14  0.0       0.0      0.0
0.620690    0.3977    0.3977  1.5423e+02  2.468e-03  2.468e-03  2.1949e+08  3.8306e+08  3.8306e+10  3.8306e+14  0.0       0.0      0.0
0.655172    0.1629    0.1629  1.3686e+02  2.190e-03  2.190e-03  1.5390e+08  2.9317e+08  2.9317e+10  2.9317e+14  0.0       0.0      0.0
0.689655   -0.0553   -0.0553  1.2012e+02  1.922e-03  1.922e-03  1.1037e+08  2.2534e+08  2.2534e+10  2.2534e+14  0.0       0.0      0.0
0.724138   -0.2529   -0.2529  1.1485e+02  1.838e-03  1.838e-03  8.7339e+07  2.0749e+08  2.0749e+10  2.0749e+14  0.0       0.0      0.0
0.758621   -0.4566   -0.4566  1.1463e+02  1.834e-03  1.834e-03  7.2930e+07  2.0855e+08  2.0855e+10  2.0855e+14  0.0       0.0      0.0
0.793103   -0.7039   -0.7039  1.1476e+02  1.836e-03  1.836e-03  6.3057e+07  2.1163e+08  2.1163e+10  2.1163e+14  0.0       0.0      0.0
0.827586   -0.9817   -0.9817  8.3699e+01  1.339e-03  1.339e-03  4.3274e+07  1.0929e+08  1.0929e+10  1.0929e+14  0.0       0.0      0.0
0.862069   -1.2754   -1.2754  5.2388e+01  8.382e-04  8.382e-04  2.3495e+07  7.1963e+07  7.1963e+09  7.1963e+13  0.0       0.0      0.0
0.896552   -1.6673   -1.6673  2.2186e+01  3.550e-04  3.550e-04  6.3992e+06  3.3019e+07  3.3019e+09  3.3019e+13  0.0       0.0      0.0
0.931034   -2.3118   -2.3118  1.5186e+01  2.430e-04  2.430e-04  2.5049e+06  1.8685e+07  1.8685e+09  1.8685e+13  0.0       0.0      0.0
0.965517   -3.3354   -3.3354  4.5978e+00  7.357e-05  7.357e-05  1.7295e+05  3.0738e+06  3.0738e+08  3.0738e+12  0.0       0.0      0.0
1.000000   -4.6410   -4.6410  1.0040e+00  1.606e-05  1.606e-05  1.7147e+03  3.1771e+04  3.1771e+06  3.1771e+10  0.0       0.0      0.0
