IEA-3.4-130-RWT — land-based — section properties
10         n_secs:     number of stations at which properties are specified (-)

sec_loc  str_tw  tw_iner   mass_den  flp_iner  edge_iner  flp_stff   edge_stff   tor_stff   axial_stff  cg_offst  sc_offst tc_offst
(-)      (deg)   (deg)     (kg/m)    (kg-m)    (kg-m)     (Nm^2)     (Nm^2)      (Nm^2)     (N)         (m)       (m)      (m)
0.000000  0.0     0.0       9.6089e+03  1.537e-01  1.537e-01  9.6648e+11  9.6648e+11  9.6648e+13  9.6648e+17  0.0       0.0      0.0
0.111145  0.0     0.0       9.0197e+03  1.443e-01  1.443e-01  8.9900e+11  8.9900e+11  8.9900e+13  8.9900e+17  0.0       0.0      0.0
0.222291  0.0     0.0       8.1596e+03  1.306e-01  1.306e-01  8.1469e+11  8.1469e+11  8.1469e+13  8.1469e+17  0.0       0.0      0.0
0.333436  0.0     0.0       7.2321e+03  1.157e-01  1.157e-01  7.2344e+11  7.2344e+11  7.2344e+13  7.2344e+17  0.0       0.0      0.0
0.444582  0.0     0.0       6.1372e+03  9.819e-02  9.819e-02  6.1527e+11  6.1527e+11  6.1527e+13  6.1527e+17  0.0       0.0      0.0
0.555676  0.0     0.0       5.1522e+03  8.243e-02  8.243e-02  5.1052e+11  5.1052e+11  5.1052e+13  5.1052e+17  0.0       0.0      0.0
0.666821  0.0     0.0       4.0228e+03  6.437e-02  6.437e-02  3.4604e+11  3.4604e+11  3.4604e+13  3.4604e+17  0.0       0.0      0.0
0.777966  0.0     0.0       3.1877e+03  5.100e-02  5.100e-02  2.0466e+11  2.0466e+11  2.0466e+13  2.0466e+17  0.0       0.0      0.0
0.889060  0.0     0.0       2.6122e+03  4.179e-02  4.179e-02  1.1835e+11  1.1835e+11  1.1835e+13  1.1835e+17  0.0       0.0      0.0
1.000000  0.0     0.0       2.3034e+03  3.685e-02  3.685e-02  7.1546e+10  7.1546e+10  7.1546e+12  7.1546e+16  0.0       0.0      0.0
