IEA-10.0-198-RWT — monopile — tower section properties
10         n_secs:     number of stations at which properties are specified (-)

sec_loc  str_tw  tw_iner   mass_den  flp_iner  edge_iner  flp_stff   edge_stff   tor_stff   axial_stff  cg_offst  sc_offst tc_offst
(-)      (deg)   (deg)     (kg/m)    (kg-m)    (kg-m)     (Nm^2)     (Nm^2)      (Nm^2)     (N)         (m)       (m)      (m)
0.000000  0.0     0.0       1.6181e+04  2.589e-01  2.589e-01  3.0567e+12  3.0567e+12  3.0567e+14  3.0567e+18  0.0       0.0      0.0
0.110771  0.0     0.0       1.5068e+04  2.411e-01  2.411e-01  2.6545e+12  2.6545e+12  2.6545e+14  2.6545e+18  0.0       0.0      0.0
0.221543  0.0     0.0       1.3460e+04  2.154e-01  2.154e-01  2.2073e+12  2.2073e+12  2.2073e+14  2.2073e+18  0.0       0.0      0.0
0.332314  0.0     0.0       1.2455e+04  1.993e-01  1.993e-01  1.8974e+12  1.8974e+12  1.8974e+14  1.8974e+18  0.0       0.0      0.0
0.443085  0.0     0.0       1.1488e+04  1.838e-01  1.838e-01  1.6213e+12  1.6213e+12  1.6213e+14  1.6213e+18  0.0       0.0      0.0
0.553857  0.0     0.0       1.0077e+04  1.612e-01  1.612e-01  1.3125e+12  1.3125e+12  1.3125e+14  1.3125e+18  0.0       0.0      0.0
0.664628  0.0     0.0       8.7438e+03  1.399e-01  1.399e-01  1.0475e+12  1.0475e+12  1.0475e+14  1.0475e+18  0.0       0.0      0.0
0.775399  0.0     0.0       7.0518e+03  1.128e-01  1.128e-01  7.7484e+11  7.7484e+11  7.7484e+13  7.7484e+17  0.0       0.0      0.0
0.886171  0.0     0.0       5.4765e+03  8.762e-02  8.762e-02  5.4977e+11  5.4977e+11  5.4977e+13  5.4977e+17  0.0       0.0      0.0
1.000000  0.0     0.0       4.8131e+03  7.701e-02  7.701e-02  4.3799e+11  4.3799e+11  4.3799e+13  4.3799e+17  0.0       0.0      0.0
