IEA-15-240-RWT — monopile — blade section properties
50         n_secs:     number of stations at which properties are specified (-)

sec_loc  str_tw  tw_iner   mass_den  flp_iner  edge_iner  flp_stff   edge_stff   tor_stff   axial_stff  cg_offst  sc_offst tc_offst
(-)      (deg)   (deg)     (kg/m)    (kg-m)    (kg-m)     (Nm^2)     (Nm^2)      (Nm^2)     (N)         (m)       (m)      (m)
0.000000   15.5946   15.5946  3.1891e+03  5.103e-02  5.103e-02  1.5253e+11  1.5248e+11  1.5253e+13  1.5253e+17  0.0       0.0      0.0
0.020408   15.5877   15.5877  2.8485e+03  4.558e-02  4.558e-02  1.3880e+11  1.3764e+11  1.3880e+13  1.3880e+17  0.0       0.0      0.0
0.040816   15.4108   15.4108  2.5063e+03  4.010e-02  4.010e-02  1.2228e+11  1.2310e+11  1.2310e+13  1.2310e+17  0.0       0.0      0.0
0.061224   14.9486   14.9486  2.1263e+03  3.402e-02  3.402e-02  9.7214e+10  1.0300e+11  1.0300e+13  1.0300e+17  0.0       0.0      0.0
0.081633   14.2585   14.2585  1.7743e+03  2.839e-02  2.839e-02  7.4732e+10  8.4154e+10  8.4154e+12  8.4154e+16  0.0       0.0      0.0
0.102041   13.3971   13.3971  1.6754e+03  2.681e-02  2.681e-02  5.6707e+10  7.5003e+10  7.5003e+12  7.5003e+16  0.0       0.0      0.0
0.122449   12.4220   12.4220  1.3754e+03  2.201e-02  2.201e-02  4.3331e+10  6.3869e+10  6.3869e+12  6.3869e+16  0.0       0.0      0.0
0.142857   11.3946   11.3946  1.1269e+03  1.803e-02  1.803e-02  3.4881e+10  5.5876e+10  5.5876e+12  5.5876e+16  0.0       0.0      0.0
0.163265   10.3710   10.3710  9.1670e+02  1.467e-02  1.467e-02  3.0741e+10  4.8504e+10  4.8504e+12  4.8504e+16  0.0       0.0      0.0
0.183673    9.4040    9.4040  7.5811e+02  1.213e-02  1.213e-02  2.7693e+10  4.2294e+10  4.2294e+12  4.2294e+16  0.0       0.0      0.0
0.204082    8.5515    8.5515  6.4982e+02  1.040e-02  1.040e-02  2.4620e+10  3.7790e+10  3.7790e+12  3.7790e+16  0.0       0.0      0.0
0.224490    7.8332    7.8332  5.8166e+02  9.307e-03  9.307e-03  2.1390e+10  3.4605e+10  3.4605e+12  3.4605e+16  0.0       0.0      0.0
0.244898    7.1914    7.1914  5.3881e+02  8.621e-03  8.621e-03  1.8692e+10  3.2228e+10  3.2228e+12  3.2228e+16  0.0       0.0      0.0
0.265306    6.5516    6.5516  5.0939e+02  8.150e-03  8.150e-03  1.6313e+10  3.0321e+10  3.0321e+12  3.0321e+16  0.0       0.0      0.0
0.285714    5.9340    5.9340  4.9278e+02  7.885e-03  7.885e-03  1.4791e+10  2.8669e+10  2.8669e+12  2.8669e+16  0.0       0.0      0.0
0.306122    5.3461    5.3461  4.8678e+02  7.788e-03  7.788e-03  1.4082e+10  2.7192e+10  2.7192e+12  2.7192e+16  0.0       0.0      0.0
0.326531    4.7963    4.7963  4.8223e+02  7.716e-03  7.716e-03  1.3405e+10  2.5626e+10  2.5626e+12  2.5626e+16  0.0       0.0      0.0
0.346939    4.2966    4.2966  4.7618e+02  7.619e-03  7.619e-03  1.2130e+10  2.4068e+10  2.4068e+12  2.4068e+16  0.0       0.0      0.0
0.367347    3.8470    3.8470  4.6779e+02  7.485e-03  7.485e-03  1.0576e+10  2.2630e+10  2.2630e+12  2.2630e+16  0.0       0.0      0.0
0.387755    3.4453    3.4453  4.5913e+02  7.346e-03  7.346e-03  9.4289e+09  2.1407e+10  2.1407e+12  2.1407e+16  0.0       0.0      0.0
0.408163    3.0769    3.0769  4.5084e+02  7.213e-03  7.213e-03  8.6794e+09  2.0306e+10  2.0306e+12  2.0306e+16  0.0       0.0      0.0
0.428571    2.7336    2.7336  4.4220e+02  7.075e-03  7.075e-03  8.0908e+09  1.9260e+10  1.9260e+12  1.9260e+16  0.0       0.0      0.0
0.448980    2.4122    2.4122  4.3260e+02  6.922e-03  6.922e-03  7.4307e+09  1.8203e+10  1.8203e+12  1.8203e+16  0.0       0.0      0.0
0.469388    2.1117    2.1117  4.2198e+02  6.752e-03  6.752e-03  6.5329e+09  1.7167e+10  1.7167e+12  1.7167e+16  0.0       0.0      0.0
0.489796    1.8284    1.8284  4.1125e+02  6.580e-03  6.580e-03  5.6355e+09  1.6168e+10  1.6168e+12  1.6168e+16  0.0       0.0      0.0
0.510204    1.5588    1.5588  4.0125e+02  6.420e-03  6.420e-03  4.9247e+09  1.5223e+10  1.5223e+12  1.5223e+16  0.0       0.0      0.0
0.530612    1.3024    1.3024  3.9205e+02  6.273e-03  6.273e-03  4.4018e+09  1.4337e+10  1.4337e+12  1.4337e+16  0.0       0.0      0.0
0.551020    1.0644    1.0644  3.8267e+02  6.123e-03  6.123e-03  3.9411e+09  1.3445e+10  1.3445e+12  1.3445e+16  0.0       0.0      0.0
0.571429    0.8434    0.8434  3.6127e+02  5.780e-03  5.780e-03  3.4263e+09  1.1381e+10  1.1381e+12  1.1381e+16  0.0       0.0      0.0
0.591837    0.6366    0.6366  3.3987e+02  5.438e-03  5.438e-03  2.9667e+09  9.4717e+09  9.4717e+11  9.4717e+15  0.0       0.0      0.0
0.612245    0.4370    0.4370  3.1732e+02  5.077e-03  5.077e-03  2.5990e+09  7.5981e+09  7.5981e+11  7.5981e+15  0.0       0.0      0.0
0.632653    0.2397    0.2397  2.9411e+02  4.706e-03  4.706e-03  2.2996e+09  5.8057e+09  5.8057e+11  5.8057e+15  0.0       0.0      0.0
