IEA-22-280-RWT — monopile — tower section properties
30         n_secs:     number of stations at which properties are specified (-)

sec_loc  str_tw  tw_iner   mass_den  flp_iner  edge_iner  flp_stff   edge_stff   tor_stff   axial_stff  cg_offst  sc_offst tc_offst
(-)      (deg)   (deg)     (kg/m)    (kg-m)    (kg-m)     (Nm^2)     (Nm^2)      (Nm^2)     (N)         (m)       (m)      (m)
0.000000  0.0     0.0       1.6249e+04  2.600e-01  2.600e-01  5.1067e+12  5.1067e+12  5.1067e+14  5.1067e+18  0.0       0.0      0.0
0.028324  0.0     0.0       1.5833e+04  2.533e-01  2.533e-01  4.9775e+12  4.9775e+12  4.9775e+14  4.9775e+18  0.0       0.0      0.0
0.063026  0.0     0.0       1.5266e+04  2.443e-01  2.443e-01  4.7590e+12  4.7590e+12  4.7590e+14  4.7590e+18  0.0       0.0      0.0
0.097729  0.0     0.0       1.4878e+04  2.380e-01  2.380e-01  4.5450e+12  4.5450e+12  4.5450e+14  4.5450e+18  0.0       0.0      0.0
0.132432  0.0     0.0       1.4534e+04  2.325e-01  2.325e-01  4.3375e+12  4.3375e+12  4.3375e+14  4.3375e+18  0.0       0.0      0.0
0.167134  0.0     0.0       1.4187e+04  2.270e-01  2.270e-01  4.1330e+12  4.1330e+12  4.1330e+14  4.1330e+18  0.0       0.0      0.0
0.201837  0.0     0.0       1.3837e+04  2.214e-01  2.214e-01  3.9314e+12  3.9314e+12  3.9314e+14  3.9314e+18  0.0       0.0      0.0
0.236540  0.0     0.0       1.3483e+04  2.157e-01  2.157e-01  3.7330e+12  3.7330e+12  3.7330e+14  3.7330e+18  0.0       0.0      0.0
0.271243  0.0     0.0       1.3126e+04  2.100e-01  2.100e-01  3.5377e+12  3.5377e+12  3.5377e+14  3.5377e+18  0.0       0.0      0.0
0.305945  0.0     0.0       1.2765e+04  2.042e-01  2.042e-01  3.3458e+12  3.3458e+12  3.3458e+14  3.3458e+18  0.0       0.0      0.0
0.340648  0.0     0.0       1.2400e+04  1.984e-01  1.984e-01  3.1572e+12  3.1572e+12  3.1572e+14  3.1572e+18  0.0       0.0      0.0
0.375351  0.0     0.0       1.2031e+04  1.925e-01  1.925e-01  2.9721e+12  2.9721e+12  2.9721e+14  2.9721e+18  0.0       0.0      0.0
0.410054  0.0     0.0       1.1658e+04  1.865e-01  1.865e-01  2.7907e+12  2.7907e+12  2.7907e+14  2.7907e+18  0.0       0.0      0.0
0.444756  0.0     0.0       1.1280e+04  1.805e-01  1.805e-01  2.6129e+12  2.6129e+12  2.6129e+14  2.6129e+18  0.0       0.0      0.0
0.479459  0.0     0.0       1.0898e+04  1.744e-01  1.744e-01  2.4389e+12  2.4389e+12  2.4389e+14  2.4389e+18  0.0       0.0      0.0
0.514162  0.0     0.0       1.0511e+04  1.682e-01  1.682e-01  2.2687e+12  2.2687e+12  2.2687e+14  2.2687e+18  0.0       0.0      0.0
0.548865  0.0     0.0       1.0119e+04  1.619e-01  1.619e-01  2.1026e+12  2.1026e+12  2.1026e+14  2.1026e+18  0.0       0.0      0.0
0.583567  0.0     0.0       9.7217e+03  1.555e-01  1.555e-01  1.9406e+12  1.9406e+12  1.9406e+14  1.9406e+18  0.0       0.0      0.0
0.618270  0.0     0.0       9.3180e+03  1.491e-01  1.491e-01  1.7828e+12  1.7828e+12  1.7828e+14  1.7828e+18  0.0       0.0      0.0
0.652973  0.0     0.0       8.9081e+03  1.425e-01  1.425e-01  1.6294e+12  1.6294e+12  1.6294e+14  1.6294e+18  0.0       0.0      0.0
0.687675  0.0     0.0       8.4905e+03  1.358e-01  1.358e-01  1.4802e+12  1.4802e+12  1.4802e+14  1.4802e+18  0.0       0.0      0.0
0.722378  0.0     0.0       8.0659e+03  1.291e-01  1.291e-01  1.3359e+12  1.3359e+12  1.3359e+14  1.3359e+18  0.0       0.0      0.0
0.757081  0.0     0.0       7.6292e+03  1.221e-01  1.221e-01  1.1951e+12  1.1951e+12  1.1951e+14  1.1951e+18  0.0       0.0      0.0
0.791784  0.0     0.0       7.1891e+03  1.150e-01  1.150e-01  1.0612e+12  1.0612e+12  1.0612e+14  1.0612e+18  0.0       0.0      0.0
0.826486  0.0     0.0       6.7142e+03  1.074e-01  1.074e-01  9.2567e+11  9.2567e+11  9.2567e+13  9.2567e+17  0.0       0.0      0.0
0.861189  0.0     0.0       6.2672e+03  1.003e-01  1.003e-01  7.9029e+11  7.9029e+11  7.9029e+13  7.9029e+17  0.0       0.0      0.0
0.895892  0.0     0.0       5.8867e+03  9.419e-02  9.419e-02  6.8537e+11  6.8537e+11  6.8537e+13  6.8537e+17  0.0       0.0      0.0
0.930595  0.0     0.0       5.6521e+03  9.043e-02  9.043e-02  6.3976e+11  6.3976e+11  6.3976e+13  6.3976e+17  0.0       0.0      0.0
0.965297  0.0     0.0       5.6521e+03  9.043e-02  9.043e-02  6.3976e+11  6.3976e+11  6.3976e+13  6.3976e+17  0.0       0.0      0.0
1.000000  0.0     0.0       5.6521e+03  9.043e-02  9.043e-02  6.3976e+11  6.3976e+11  6.3976e+13  6.3976e+17  0.0       0.0      0.0
