NREL 5MW on the OC3 monopile substructure — blade section properties
49         n_secs:     number of stations at which properties are specified (-)

sec_loc  str_tw  tw_iner   mass_den  flp_iner  edge_iner  flp_stff   edge_stff   tor_stff   axial_stff  cg_offst  sc_offst tc_offst
(-)      (deg)   (deg)     (kg/m)    (kg-m)    (kg-m)     (Nm^2)     (Nm^2)      (Nm^2)     (N)         (m)       (m)      (m)
0.000000   13.3080   13.3080  6.7893e+02  1.086e-02  1.086e-02  1.8110e+10  1.8114e+10  1.8114e+12  1.8114e+16  0.0       0.0      0.0
0.003250   13.3080   13.3080  6.7893e+02  1.086e-02  1.086e-02  1.8110e+10  1.8114e+10  1.8114e+12  1.8114e+16  0.0       0.0      0.0
0.019510   13.3080   13.3080  7.7336e+02  1.237e-02  1.237e-02  1.9425e+10  1.9559e+10  1.9559e+12  1.9559e+16  0.0       0.0      0.0
0.035770   13.3080   13.3080  7.4055e+02  1.185e-02  1.185e-02  1.7456e+10  1.9498e+10  1.9498e+12  1.9498e+16  0.0       0.0      0.0
0.052030   13.3080   13.3080  7.4004e+02  1.184e-02  1.184e-02  1.5287e+10  1.9789e+10  1.9789e+12  1.9789e+16  0.0       0.0      0.0
0.068290   13.3080   13.3080  5.9250e+02  9.480e-03  9.480e-03  1.0782e+10  1.4858e+10  1.4858e+12  1.4858e+16  0.0       0.0      0.0
0.084550   13.3080   13.3080  4.5027e+02  7.204e-03  7.204e-03  7.2297e+09  1.0221e+10  1.0221e+12  1.0221e+16  0.0       0.0      0.0
0.100810   13.3080   13.3080  4.2405e+02  6.785e-03  6.785e-03  6.3095e+09  9.1447e+09  9.1447e+11  9.1447e+15  0.0       0.0      0.0
0.117070   13.3080   13.3080  4.0064e+02  6.410e-03  6.410e-03  5.5284e+09  8.0632e+09  8.0632e+11  8.0632e+15  0.0       0.0      0.0
0.133350   13.3080   13.3080  3.8206e+02  6.113e-03  6.113e-03  4.9801e+09  6.8844e+09  6.8844e+11  6.8844e+15  0.0       0.0      0.0
0.149590   13.3080   13.3080  3.9965e+02  6.394e-03  6.394e-03  4.9368e+09  7.0092e+09  7.0092e+11  7.0092e+15  0.0       0.0      0.0
0.165850   13.3080   13.3080  4.2632e+02  6.821e-03  6.821e-03  4.6917e+09  7.1677e+09  7.1677e+11  7.1677e+15  0.0       0.0      0.0
0.182110   13.1810   13.1810  4.1682e+02  6.669e-03  6.669e-03  3.9495e+09  7.2717e+09  7.2717e+11  7.2717e+15  0.0       0.0      0.0
0.198370   12.8480   12.8480  4.0619e+02  6.499e-03  6.499e-03  3.3865e+09  7.0817e+09  7.0817e+11  7.0817e+15  0.0       0.0      0.0
0.214650   12.1920   12.1920  3.8142e+02  6.103e-03  6.103e-03  2.9337e+09  6.2445e+09  6.2445e+11  6.2445e+15  0.0       0.0      0.0
0.230890   11.5610   11.5610  3.5282e+02  5.645e-03  5.645e-03  2.5690e+09  5.0490e+09  5.0490e+11  5.0490e+15  0.0       0.0      0.0
0.247150   11.0720   11.0720  3.4948e+02  5.592e-03  5.592e-03  2.3886e+09  4.9485e+09  4.9485e+11  4.9485e+15  0.0       0.0      0.0
0.263410   10.7920   10.7920  3.4654e+02  5.545e-03  5.545e-03  2.2720e+09  4.8080e+09  4.8080e+11  4.8080e+15  0.0       0.0      0.0
0.295950   10.2320   10.2320  3.3933e+02  5.429e-03  5.429e-03  2.0500e+09  4.5014e+09  4.5014e+11  4.5014e+15  0.0       0.0      0.0
0.328460    9.6720    9.6720  3.3000e+02  5.280e-03  5.280e-03  1.8282e+09  4.2441e+09  4.2441e+11  4.2441e+15  0.0       0.0      0.0
0.360980    9.1100    9.1100  3.2199e+02  5.152e-03  5.152e-03  1.5887e+09  3.9953e+09  3.9953e+11  3.9953e+15  0.0       0.0      0.0
0.393500    8.5340    8.5340  3.1382e+02  5.021e-03  5.021e-03  1.3619e+09  3.7508e+09  3.7508e+11  3.7508e+15  0.0       0.0      0.0
0.426020    7.9320    7.9320  2.9473e+02  4.716e-03  4.716e-03  1.1024e+09  3.4471e+09  3.4471e+11  3.4471e+15  0.0       0.0      0.0
0.458550    7.3210    7.3210  2.8712e+02  4.594e-03  4.594e-03  8.7580e+08  3.1391e+09  3.1391e+11  3.1391e+15  0.0       0.0      0.0
0.491060    6.7110    6.7110  2.6334e+02  4.213e-03  4.213e-03  6.8130e+08  2.7342e+09  2.7342e+11  2.7342e+15  0.0       0.0      0.0
0.523580    6.1220    6.1220  2.5321e+02  4.051e-03  4.051e-03  5.3472e+08  2.5549e+09  2.5549e+11  2.5549e+15  0.0       0.0      0.0
0.556100    5.5460    5.5460  2.4167e+02  3.867e-03  3.867e-03  4.0890e+08  2.3340e+09  2.3340e+11  2.3340e+15  0.0       0.0      0.0
0.588620    4.9710    4.9710  2.2064e+02  3.530e-03  3.530e-03  3.1454e+08  1.8287e+09  1.8287e+11  1.8287e+15  0.0       0.0      0.0
0.621150    4.4010    4.4010  2.0029e+02  3.205e-03  3.205e-03  2.3863e+08  1.5841e+09  1.5841e+11  1.5841e+15  0.0       0.0      0.0
0.653660    3.8340    3.8340  1.7940e+02  2.870e-03  2.870e-03  1.7588e+08  1.3234e+09  1.3234e+11  1.3234e+15  0.0       0.0      0.0
0.686180    3.3320    3.3320  1.6509e+02  2.642e-03  2.642e-03  1.2601e+08  1.1837e+09  1.1837e+11  1.1837e+15  0.0       0.0      0.0
0.718700    2.8900    2.8900  1.5441e+02  2.471e-03  2.471e-03  1.0726e+08  1.0202e+09  1.0202e+11  1.0202e+15  0.0       0.0      0.0
0.751220    2.5030    2.5030  1.3894e+02  2.223e-03  2.223e-03  9.0880e+07  7.9781e+08  7.9781e+10  7.9781e+14  0.0       0.0      0.0
0.783760    2.1160    2.1160  1.2956e+02  2.073e-03  2.073e-03  7.6310e+07  7.0961e+08  7.0961e+10  7.0961e+14  0.0       0.0      0.0
0.816260    1.7300    1.7300  1.0726e+02  1.716e-03  1.716e-03  6.1050e+07  5.1819e+08  5.1819e+10  5.1819e+14  0.0       0.0      0.0
0.848780    1.3420    1.3420  9.8776e+01  1.580e-03  1.580e-03  4.9480e+07  4.5487e+08  4.5487e+10  4.5487e+14  0.0       0.0      0.0
0.881300    0.9540    0.9540  9.0248e+01  1.444e-03  1.444e-03  3.9360e+07  3.9512e+08  3.9512e+10  3.9512e+14  0.0       0.0      0.0
0.897560    0.7600    0.7600  8.3001e+01  1.328e-03  1.328e-03  3.4670e+07  3.5372e+08  3.5372e+10  3.5372e+14  0.0       0.0      0.0
0.913820    0.5740    0.5740  7.2906e+01  1.166e-03  1.166e-03  3.0410e+07  3.0473e+08  3.0473e+10  3.0473e+14  0.0       0.0      0.0
0.930080    0.4040    0.4040  6.8772e+01  1.100e-03  1.100e-03  2.6520e+07  2.8142e+08  2.8142e+10  2.8142e+14  0.0       0.0      0.0
0.938210    0.3190    0.3190  6.6264e+01  1.060e-03  1.060e-03  2.3840e+07  2.6171e+08  2.6171e+10  2.6171e+14  0.0       0.0      0.0
0.946360    0.2530    0.2530  5.9340e+01  9.494e-04  9.494e-04  1.9630e+07  1.5881e+08  1.5881e+10  1.5881e+14  0.0       0.0      0.0
0.954470    0.2160    0.2160  5.5914e+01  8.946e-04  8.946e-04  1.6000e+07  1.3788e+08  1.3788e+10  1.3788e+14  0.0       0.0      0.0
0.962600    0.1780    0.1780  5.2484e+01  8.397e-04  8.397e-04  1.2830e+07  1.1879e+08  1.1879e+10  1.1879e+14  0.0       0.0      0.0
0.970730    0.1400    0.1400  4.9114e+01  7.858e-04  7.858e-04  1.0080e+07  1.0163e+08  1.0163e+10  1.0163e+14  0.0       0.0      0.0
0.978860    0.1010    0.1010  4.5818e+01  7.331e-04  7.331e-04  7.5500e+06  8.5070e+07  8.5070e+09  8.5070e+13  0.0       0.0      0.0
0.986990    0.0620    0.0620  4.1669e+01  6.667e-04  6.667e-04  4.6000e+06  6.4260e+07  6.4260e+09  6.4260e+13  0.0       0.0      0.0
0.995120    0.0230    0.0230  1.1453e+01  1.832e-04  1.832e-04  2.5000e+05  6.6100e+06  6.6100e+08  6.6100e+12  0.0       0.0      0.0
