NREL 5MW on the OC3 monopile substructure — combined pile + tower section properties
15         n_secs:     number of stations at which properties are specified (-)

sec_loc  str_tw  tw_iner   mass_den  flp_iner  edge_iner  flp_stff   edge_stff   tor_stff   axial_stff  cg_offst  sc_offst tc_offst
(-)      (deg)   (deg)     (kg/m)    (kg-m)    (kg-m)     (Nm^2)     (Nm^2)      (Nm^2)     (N)         (m)       (m)      (m)
0.000000    0.0000    0.0000  9.5171e+03  8.565e-02  8.565e-02  1.0371e+12  1.0371e+12  7.9810e+11  2.3513e+11  0.0000    0.0000   0.0000
0.092938    0.0000    0.0000  9.5171e+03  8.565e-02  8.565e-02  1.0371e+12  1.0371e+12  7.9810e+11  2.3513e+11  0.0000    0.0000   0.0000
0.185874    0.0000    0.0000  9.5171e+03  8.565e-02  8.565e-02  1.0371e+12  1.0371e+12  7.9810e+11  2.3513e+11  0.0000    0.0000   0.0000
0.278811    0.0000    0.0000  9.5171e+03  8.565e-02  8.565e-02  1.0371e+12  1.0371e+12  7.9810e+11  2.3513e+11  0.0000    0.0000   0.0000
0.278811    0.0000    0.0000  4.3065e+03  3.876e-02  3.876e-02  4.7449e+11  4.7449e+11  4.7449e+13  4.7449e+17  0.0000    0.0000   0.0000
0.350930    0.0000    0.0000  4.0304e+03  3.627e-02  3.627e-02  4.1308e+11  4.1308e+11  4.1308e+13  4.1308e+17  0.0000    0.0000   0.0000
0.423049    0.0000    0.0000  3.7634e+03  3.387e-02  3.387e-02  3.5783e+11  3.5783e+11  3.5783e+13  3.5783e+17  0.0000    0.0000   0.0000
0.495168    0.0000    0.0000  3.5055e+03  3.155e-02  3.155e-02  3.0830e+11  3.0830e+11  3.0830e+13  3.0830e+17  0.0000    0.0000   0.0000
0.567287    0.0000    0.0000  3.2567e+03  2.931e-02  2.931e-02  2.6408e+11  2.6408e+11  2.6408e+13  2.6408e+17  0.0000    0.0000   0.0000
0.639406    0.0000    0.0000  3.0169e+03  2.715e-02  2.715e-02  2.2480e+11  2.2480e+11  2.2480e+13  2.2480e+17  0.0000    0.0000   0.0000
0.711524    0.0000    0.0000  2.7861e+03  2.508e-02  2.508e-02  1.9006e+11  1.9006e+11  1.9006e+13  1.9006e+17  0.0000    0.0000   0.0000
0.783643    0.0000    0.0000  2.5645e+03  2.308e-02  2.308e-02  1.5949e+11  1.5949e+11  1.5949e+13  1.5949e+17  0.0000    0.0000   0.0000
0.855762    0.0000    0.0000  2.3519e+03  2.117e-02  2.117e-02  1.3277e+11  1.3277e+11  1.3277e+13  1.3277e+17  0.0000    0.0000   0.0000
0.927881    0.0000    0.0000  2.1483e+03  1.934e-02  1.934e-02  1.0954e+11  1.0954e+11  1.0954e+13  1.0954e+17  0.0000    0.0000   0.0000
1.000000    0.0000    0.0000  1.9539e+03  1.758e-02  1.758e-02  8.9490e+10  8.9490e+10  8.9490e+12  8.9490e+16  0.0000    0.0000   0.0000
