IEA-10.0-198-RWT — monopile — blade section properties
30         n_secs:     number of stations at which properties are specified (-)

sec_loc  str_tw  tw_iner   mass_den  flp_iner  edge_iner  flp_stff   edge_stff   tor_stff   axial_stff  cg_offst  sc_offst tc_offst
(-)      (deg)   (deg)     (kg/m)    (kg-m)    (kg-m)     (Nm^2)     (Nm^2)      (Nm^2)     (N)         (m)       (m)      (m)
0.000000   12.0000   12.0000  2.3719e+03  3.795e-02  3.795e-02  1.1992e+11  1.1989e+11  1.1992e+13  1.1992e+17  0.0       0.0      0.0
0.034481   11.9996   11.9996  1.2931e+03  2.069e-02  2.069e-02  6.7756e+10  4.2361e+10  6.7756e+12  6.7756e+16  0.0       0.0      0.0
0.068967   11.9967   11.9967  1.2272e+03  1.963e-02  1.963e-02  5.7180e+10  3.5893e+10  5.7180e+12  5.7180e+16  0.0       0.0      0.0
0.103447   12.0224   12.0224  1.1002e+03  1.760e-02  1.760e-02  4.4098e+10  3.1855e+10  4.4098e+12  4.4098e+16  0.0       0.0      0.0
0.137934   11.5687   11.5687  9.7874e+02  1.566e-02  1.566e-02  2.8277e+10  3.0844e+10  3.0844e+12  3.0844e+16  0.0       0.0      0.0
0.172418   10.0388   10.0388  8.6252e+02  1.380e-02  1.380e-02  1.4931e+10  3.0589e+10  3.0589e+12  3.0589e+16  0.0       0.0      0.0
0.206899    8.0766    8.0766  7.6452e+02  1.223e-02  1.223e-02  9.5792e+09  2.8576e+10  2.8576e+12  2.8576e+16  0.0       0.0      0.0
0.241378    6.5836    6.5836  6.7455e+02  1.079e-02  1.079e-02  7.6692e+09  2.3836e+10  2.3836e+12  2.3836e+16  0.0       0.0      0.0
0.275862    5.6612    5.6612  6.1280e+02  9.805e-03  9.805e-03  6.4041e+09  1.9820e+10  1.9820e+12  1.9820e+16  0.0       0.0      0.0
0.310345    5.0103    5.0103  5.5970e+02  8.955e-03  8.955e-03  5.2922e+09  1.6031e+10  1.6031e+12  1.6031e+16  0.0       0.0      0.0
0.344832    4.4471    4.4471  5.2002e+02  8.320e-03  8.320e-03  4.3773e+09  1.3075e+10  1.3075e+12  1.3075e+16  0.0       0.0      0.0
0.379312    3.9305    3.9305  4.8947e+02  7.832e-03  7.832e-03  3.6056e+09  1.0747e+10  1.0747e+12  1.0747e+16  0.0       0.0      0.0
0.413794    3.4404    3.4404  4.5996e+02  7.359e-03  7.359e-03  2.9174e+09  8.6850e+09  8.6850e+11  8.6850e+15  0.0       0.0      0.0
0.448282    2.9377    2.9377  4.3244e+02  6.919e-03  6.919e-03  2.3144e+09  6.9522e+09  6.9522e+11  6.9522e+15  0.0       0.0      0.0
0.482764    2.3907    2.3907  4.1365e+02  6.618e-03  6.618e-03  1.8056e+09  5.4515e+09  5.4515e+11  5.4515e+15  0.0       0.0      0.0
0.517247    1.8000    1.8000  3.8686e+02  6.190e-03  6.190e-03  1.3641e+09  4.3047e+09  4.3047e+11  4.3047e+15  0.0       0.0      0.0
0.551726    1.1819    1.1819  3.5920e+02  5.747e-03  5.747e-03  9.6193e+08  3.3481e+09  3.3481e+11  3.3481e+15  0.0       0.0      0.0
0.586209    0.5508    0.5508  3.3297e+02  5.327e-03  5.327e-03  6.6928e+08  2.6054e+09  2.6054e+11  2.6054e+15  0.0       0.0      0.0
0.620695   -0.0769   -0.0769  3.0790e+02  4.926e-03  4.926e-03  4.5522e+08  2.0239e+09  2.0239e+11  2.0239e+15  0.0       0.0      0.0
0.655172   -0.6870   -0.6870  2.8250e+02  4.520e-03  4.520e-03  3.1242e+08  1.5585e+09  1.5585e+11  1.5585e+15  0.0       0.0      0.0
0.689658   -1.2628   -1.2628  2.5900e+02  4.144e-03  4.144e-03  2.2858e+08  1.1976e+09  1.1976e+11  1.1976e+15  0.0       0.0      0.0
0.724144   -1.7924   -1.7924  2.3374e+02  3.740e-03  3.740e-03  1.6632e+08  9.1643e+08  9.1643e+10  9.1643e+14  0.0       0.0      0.0
0.758623   -2.2625   -2.2625  2.0851e+02  3.336e-03  3.336e-03  1.1882e+08  6.9775e+08  6.9775e+10  6.9775e+14  0.0       0.0      0.0
0.793101   -2.6478   -2.6478  1.8395e+02  2.943e-03  2.943e-03  8.3866e+07  5.2556e+08  5.2556e+10  5.2556e+14  0.0       0.0      0.0
0.827590   -2.9429   -2.9429  1.5918e+02  2.547e-03  2.547e-03  5.8289e+07  3.8946e+08  3.8946e+10  3.8946e+14  0.0       0.0      0.0
0.862072   -3.1293   -3.1293  1.3388e+02  2.142e-03  2.142e-03  3.9885e+07  2.8094e+08  2.8094e+10  2.8094e+14  0.0       0.0      0.0
0.896555   -3.1357   -3.1357  1.0670e+02  1.707e-03  1.707e-03  2.5896e+07  1.9183e+08  1.9183e+10  1.9183e+14  0.0       0.0      0.0
0.931040   -2.8633   -2.8633  7.4392e+01  1.190e-03  1.190e-03  1.4183e+07  1.1246e+08  1.1246e+10  1.1246e+14  0.0       0.0      0.0
0.965519   -2.0460   -2.0460  4.1582e+01  6.653e-04  6.653e-04  4.4785e+06  4.4311e+07  4.4311e+09  4.4311e+13  0.0       0.0      0.0
1.000000   -0.0372   -0.0372  2.3788e+00  3.806e-05  3.806e-05  7.2850e+02  2.4645e+04  2.4645e+06  2.4645e+10  0.0       0.0      0.0
