IEA-10.0-198-RWT — monopile — combined pile + tower section properties
30         n_secs:     number of stations at which properties are specified (-)

sec_loc  str_tw  tw_iner   mass_den  flp_iner  edge_iner  flp_stff   edge_stff   tor_stff   axial_stff  cg_offst  sc_offst tc_offst
(-)      (deg)   (deg)     (kg/m)    (kg-m)    (kg-m)     (Nm^2)     (Nm^2)      (Nm^2)     (N)         (m)       (m)      (m)
0.000000    0.0000    0.0000  2.3766e+04  2.139e-01  2.139e-01  5.8144e+12  5.8144e+12  4.4726e+12  5.8716e+11  0.0000    0.0000   0.0000
0.005493    0.0000    0.0000  2.3766e+04  2.139e-01  2.139e-01  5.8144e+12  5.8144e+12  4.4726e+12  5.8716e+11  0.0000    0.0000   0.0000
0.010987    0.0000    0.0000  2.3766e+04  2.139e-01  2.139e-01  5.8144e+12  5.8144e+12  4.4726e+12  5.8716e+11  0.0000    0.0000   0.0000
0.016480    0.0000    0.0000  2.3766e+04  2.139e-01  2.139e-01  5.8144e+12  5.8144e+12  4.4726e+12  5.8716e+11  0.0000    0.0000   0.0000
0.021973    0.0000    0.0000  2.3766e+04  2.139e-01  2.139e-01  5.8144e+12  5.8144e+12  4.4726e+12  5.8716e+11  0.0000    0.0000   0.0000
0.027467    0.0000    0.0000  2.3766e+04  2.139e-01  2.139e-01  5.8144e+12  5.8144e+12  4.4726e+12  5.8716e+11  0.0000    0.0000   0.0000
0.054934    0.0000    0.0000  2.3766e+04  2.139e-01  2.139e-01  5.8144e+12  5.8144e+12  4.4726e+12  5.8716e+11  0.0000    0.0000   0.0000
0.082401    0.0000    0.0000  2.3766e+04  2.139e-01  2.139e-01  5.8144e+12  5.8144e+12  4.4726e+12  5.8716e+11  0.0000    0.0000   0.0000
0.109867    0.0000    0.0000  3.0792e+04  2.771e-01  2.771e-01  7.4832e+12  7.4832e+12  5.7563e+12  7.6074e+11  0.0000    0.0000   0.0000
0.137334    0.0000    0.0000  3.7769e+04  3.399e-01  3.399e-01  9.1180e+12  9.1180e+12  7.0138e+12  9.3313e+11  0.0000    0.0000   0.0000
0.151068    0.0000    0.0000  3.7769e+04  3.399e-01  3.399e-01  9.1180e+12  9.1180e+12  7.0138e+12  9.3313e+11  0.0000    0.0000   0.0000
0.164801    0.0000    0.0000  3.7769e+04  3.399e-01  3.399e-01  9.1180e+12  9.1180e+12  7.0138e+12  9.3313e+11  0.0000    0.0000   0.0000
0.178535    0.0000    0.0000  3.7769e+04  3.399e-01  3.399e-01  9.1180e+12  9.1180e+12  7.0138e+12  9.3313e+11  0.0000    0.0000   0.0000
0.192268    0.0000    0.0000  3.7769e+04  3.399e-01  3.399e-01  9.1180e+12  9.1180e+12  7.0138e+12  9.3313e+11  0.0000    0.0000   0.0000
0.206002    0.0000    0.0000  3.7769e+04  3.399e-01  3.399e-01  9.1180e+12  9.1180e+12  7.0138e+12  9.3313e+11  0.0000    0.0000   0.0000
0.219735    0.0000    0.0000  3.6610e+04  3.295e-01  3.295e-01  8.8478e+12  8.8478e+12  6.8060e+12  9.0448e+11  0.0000    0.0000   0.0000
0.233468    0.0000    0.0000  3.5449e+04  3.190e-01  3.190e-01  8.5768e+12  8.5768e+12  6.5975e+12  8.7580e+11  0.0000    0.0000   0.0000
0.247202    0.0000    0.0000  3.5449e+04  3.190e-01  3.190e-01  8.5768e+12  8.5768e+12  6.5975e+12  8.7580e+11  0.0000    0.0000   0.0000
0.260935    0.0000    0.0000  3.5449e+04  3.190e-01  3.190e-01  8.5768e+12  8.5768e+12  6.5975e+12  8.7580e+11  0.0000    0.0000   0.0000
0.274669    0.0000    0.0000  3.5449e+04  3.190e-01  3.190e-01  8.5768e+12  8.5768e+12  6.5975e+12  8.7580e+11  0.0000    0.0000   0.0000
0.274669    0.0000    0.0000  1.6181e+04  1.456e-01  1.456e-01  3.0567e+12  3.0567e+12  3.0567e+14  3.0567e+18  0.0000    0.0000   0.0000
0.355015    0.0000    0.0000  1.5068e+04  1.356e-01  1.356e-01  2.6545e+12  2.6545e+12  2.6545e+14  2.6545e+18  0.0000    0.0000   0.0000
0.435361    0.0000    0.0000  1.3460e+04  1.211e-01  1.211e-01  2.2073e+12  2.2073e+12  2.2073e+14  2.2073e+18  0.0000    0.0000   0.0000
0.515706    0.0000    0.0000  1.2455e+04  1.121e-01  1.121e-01  1.8974e+12  1.8974e+12  1.8974e+14  1.8974e+18  0.0000    0.0000   0.0000
0.596052    0.0000    0.0000  1.1488e+04  1.034e-01  1.034e-01  1.6213e+12  1.6213e+12  1.6213e+14  1.6213e+18  0.0000    0.0000   0.0000
0.676398    0.0000    0.0000  1.0077e+04  9.069e-02  9.069e-02  1.3125e+12  1.3125e+12  1.3125e+14  1.3125e+18  0.0000    0.0000   0.0000
0.756744    0.0000    0.0000  8.7438e+03  7.869e-02  7.869e-02  1.0475e+12  1.0475e+12  1.0475e+14  1.0475e+18  0.0000    0.0000   0.0000
0.837090    0.0000    0.0000  7.0518e+03  6.347e-02  6.347e-02  7.7484e+11  7.7484e+11  7.7484e+13  7.7484e+17  0.0000    0.0000   0.0000
0.917436    0.0000    0.0000  5.4765e+03  4.929e-02  4.929e-02  5.4977e+11  5.4977e+11  5.4977e+13  5.4977e+17  0.0000    0.0000   0.0000
1.000000    0.0000    0.0000  4.8131e+03  4.332e-02  4.332e-02  4.3799e+11  4.3799e+11  4.3799e+13  4.3799e+17  0.0000    0.0000   0.0000
