IEA-15-240-RWT — monopile — combined pile + tower section properties
39         n_secs:     number of stations at which properties are specified (-)

sec_loc  str_tw  tw_iner   mass_den  flp_iner  edge_iner  flp_stff   edge_stff   tor_stff   axial_stff  cg_offst  sc_offst tc_offst
(-)      (deg)   (deg)     (kg/m)    (kg-m)    (kg-m)     (Nm^2)     (Nm^2)      (Nm^2)     (N)         (m)       (m)      (m)
0.000000    0.0000    0.0000  1.3486e+04  1.214e-01  1.214e-01  4.2748e+12  4.2748e+12  3.3899e+12  3.4579e+11  0.0000    0.0000   0.0000
0.000006    0.0000    0.0000  1.3486e+04  1.214e-01  1.214e-01  4.2748e+12  4.2748e+12  3.3899e+12  3.4579e+11  0.0000    0.0000   0.0000
0.028672    0.0000    0.0000  1.3257e+04  1.193e-01  1.193e-01  4.2030e+12  4.2030e+12  3.3329e+12  3.3991e+11  0.0000    0.0000   0.0000
0.028678    0.0000    0.0000  1.3027e+04  1.172e-01  1.172e-01  4.1310e+12  4.1310e+12  3.2759e+12  3.3403e+11  0.0000    0.0000   0.0000
0.057344    0.0000    0.0000  1.2792e+04  1.151e-01  1.151e-01  4.0573e+12  4.0573e+12  3.2174e+12  3.2800e+11  0.0000    0.0000   0.0000
0.057350    0.0000    0.0000  1.2557e+04  1.130e-01  1.130e-01  3.9834e+12  3.9834e+12  3.1589e+12  3.2197e+11  0.0000    0.0000   0.0000
0.086016    0.0000    0.0000  1.2317e+04  1.108e-01  1.108e-01  3.9079e+12  3.9079e+12  3.0990e+12  3.1581e+11  0.0000    0.0000   0.0000
0.086022    0.0000    0.0000  1.2076e+04  1.087e-01  1.087e-01  3.8324e+12  3.8324e+12  3.0391e+12  3.0965e+11  0.0000    0.0000   0.0000
0.114688    0.0000    0.0000  1.1832e+04  1.065e-01  1.065e-01  3.7558e+12  3.7558e+12  2.9783e+12  3.0339e+11  0.0000    0.0000   0.0000
0.114694    0.0000    0.0000  1.1588e+04  1.043e-01  1.043e-01  3.6791e+12  3.6791e+12  2.9175e+12  2.9714e+11  0.0000    0.0000   0.0000
0.143360    0.0000    0.0000  1.1346e+04  1.021e-01  1.021e-01  3.6028e+12  3.6028e+12  2.8570e+12  2.9092e+11  0.0000    0.0000   0.0000
0.143366    0.0000    0.0000  1.1103e+04  9.993e-02  9.993e-02  3.5264e+12  3.5264e+12  2.7964e+12  2.8469e+11  0.0000    0.0000   0.0000
0.172032    0.0000    0.0000  1.0861e+04  9.775e-02  9.775e-02  3.4503e+12  3.4503e+12  2.7361e+12  2.7849e+11  0.0000    0.0000   0.0000
0.172038    0.0000    0.0000  1.0620e+04  9.558e-02  9.558e-02  3.3742e+12  3.3742e+12  2.6758e+12  2.7230e+11  0.0000    0.0000   0.0000
0.200704    0.0000    0.0000  1.0464e+04  9.417e-02  9.417e-02  3.3251e+12  3.3251e+12  2.6368e+12  2.6830e+11  0.0000    0.0000   0.0000
0.200710    0.0000    0.0000  1.0307e+04  9.277e-02  9.277e-02  3.2759e+12  3.2759e+12  2.5978e+12  2.6429e+11  0.0000    0.0000   0.0000
0.229376    0.0000    0.0000  1.0164e+04  9.147e-02  9.147e-02  3.2305e+12  3.2305e+12  2.5618e+12  2.6060e+11  0.0000    0.0000   0.0000
0.229382    0.0000    0.0000  1.0020e+04  9.018e-02  9.018e-02  3.1852e+12  3.1852e+12  2.5259e+12  2.5692e+11  0.0000    0.0000   0.0000
0.258048    0.0000    0.0000  1.0020e+04  9.018e-02  9.018e-02  3.1852e+12  3.1852e+12  2.5259e+12  2.5692e+11  0.0000    0.0000   0.0000
0.258048    0.0000    0.0000  1.0315e+04  9.283e-02  9.283e-02  3.0654e+12  3.0654e+12  3.0654e+14  3.0654e+18  0.0000    0.0000   0.0000
0.332596    0.0000    0.0000  1.0315e+04  9.283e-02  9.283e-02  3.0654e+12  3.0654e+12  3.0654e+14  3.0654e+18  0.0000    0.0000   0.0000
0.332601    0.0000    0.0000  9.5238e+03  8.571e-02  8.571e-02  2.8321e+12  2.8321e+12  2.8321e+14  2.8321e+18  0.0000    0.0000   0.0000
0.407143    0.0000    0.0000  9.4531e+03  8.508e-02  8.508e-02  2.7695e+12  2.7695e+12  2.7695e+14  2.7695e+18  0.0000    0.0000   0.0000
0.407149    0.0000    0.0000  8.7613e+03  7.885e-02  7.885e-02  2.5682e+12  2.5682e+12  2.5682e+14  2.5682e+18  0.0000    0.0000   0.0000
0.481690    0.0000    0.0000  8.3335e+03  7.500e-02  7.500e-02  2.2101e+12  2.2101e+12  2.2101e+14  2.2101e+18  0.0000    0.0000   0.0000
0.481696    0.0000    0.0000  7.9433e+03  7.149e-02  7.149e-02  2.1073e+12  2.1073e+12  2.1073e+14  2.1073e+18  0.0000    0.0000   0.0000
0.556237    0.0000    0.0000  7.4285e+03  6.686e-02  6.686e-02  1.7235e+12  1.7235e+12  1.7235e+14  1.7235e+18  0.0000    0.0000   0.0000
0.556243    0.0000    0.0000  7.0872e+03  6.378e-02  6.378e-02  1.6449e+12  1.6449e+12  1.6449e+14  1.6449e+18  0.0000    0.0000   0.0000
0.630785    0.0000    0.0000  6.5381e+03  5.884e-02  5.884e-02  1.2914e+12  1.2914e+12  1.2914e+14  1.2914e+18  0.0000    0.0000   0.0000
0.630790    0.0000    0.0000  6.1972e+03  5.577e-02  5.577e-02  1.2245e+12  1.2245e+12  1.2245e+14  1.2245e+18  0.0000    0.0000   0.0000
0.705332    0.0000    0.0000  5.6165e+03  5.055e-02  5.055e-02  9.1158e+11  9.1158e+11  9.1158e+13  9.1158e+17  0.0000    0.0000   0.0000
0.705338    0.0000    0.0000  5.2535e+03  4.728e-02  4.728e-02  8.5310e+11  8.5310e+11  8.5310e+13  8.5310e+17  0.0000    0.0000   0.0000
0.779879    0.0000    0.0000  4.9103e+03  4.419e-02  4.419e-02  6.9659e+11  6.9659e+11  6.9659e+13  6.9659e+17  0.0000    0.0000   0.0000
0.779885    0.0000    0.0000  4.3342e+03  3.901e-02  3.901e-02  6.1543e+11  6.1543e+11  6.1543e+13  6.1543e+17  0.0000    0.0000   0.0000
0.854426    0.0000    0.0000  4.2328e+03  3.810e-02  3.810e-02  5.7326e+11  5.7326e+11  5.7326e+13  5.7326e+17  0.0000    0.0000   0.0000
0.854432    0.0000    0.0000  3.6734e+03  3.306e-02  3.306e-02  4.9796e+11  4.9796e+11  4.9796e+13  4.9796e+17  0.0000    0.0000   0.0000
0.928974    0.0000    0.0000  3.5773e+03  3.220e-02  3.220e-02  4.5989e+11  4.5989e+11  4.5989e+13  4.5989e+17  0.0000    0.0000   0.0000
0.928979    0.0000    0.0000  4.1201e+03  3.708e-02  3.708e-02  5.2917e+11  5.2917e+11  5.2917e+13  5.2917e+17  0.0000    0.0000   0.0000
1.000000    0.0000    0.0000  4.0748e+03  3.667e-02  3.667e-02  5.1191e+11  5.1191e+11  5.1191e+13  5.1191e+17  0.0000    0.0000   0.0000
