NREL 5MW on the OC3 Hywind floating spar — tower section properties
11         n_secs:     number of stations at which properties are specified (-)

sec_loc  str_tw  tw_iner   mass_den  flp_iner  edge_iner  flp_stff   edge_stff   tor_stff   axial_stff  cg_offst  sc_offst tc_offst
(-)      (deg)   (deg)     (kg/m)    (kg-m)    (kg-m)     (Nm^2)     (Nm^2)      (Nm^2)     (N)         (m)       (m)      (m)
0.000000  0.0     0.0       4.6670e+03  7.467e-02  7.467e-02  6.0390e+11  6.0390e+11  6.0390e+13  6.0390e+17  0.0       0.0      0.0
0.100000  0.0     0.0       4.3453e+03  6.952e-02  6.952e-02  5.1764e+11  5.1764e+11  5.1764e+13  5.1764e+17  0.0       0.0      0.0
0.200000  0.0     0.0       4.0348e+03  6.456e-02  6.456e-02  4.4092e+11  4.4092e+11  4.4092e+13  4.4092e+17  0.0       0.0      0.0
0.300000  0.0     0.0       3.7354e+03  5.977e-02  5.977e-02  3.7302e+11  3.7302e+11  3.7302e+13  3.7302e+17  0.0       0.0      0.0
0.400000  0.0     0.0       3.4473e+03  5.516e-02  5.516e-02  3.1324e+11  3.1324e+11  3.1324e+13  3.1324e+17  0.0       0.0      0.0
0.500000  0.0     0.0       3.1704e+03  5.073e-02  5.073e-02  2.6090e+11  2.6090e+11  2.6090e+13  2.6090e+17  0.0       0.0      0.0
0.600000  0.0     0.0       2.9047e+03  4.648e-02  4.648e-02  2.1536e+11  2.1536e+11  2.1536e+13  2.1536e+17  0.0       0.0      0.0
0.700000  0.0     0.0       2.6502e+03  4.240e-02  4.240e-02  1.7603e+11  1.7603e+11  1.7603e+13  1.7603e+17  0.0       0.0      0.0
0.800000  0.0     0.0       2.4069e+03  3.851e-02  3.851e-02  1.4230e+11  1.4230e+11  1.4230e+13  1.4230e+17  0.0       0.0      0.0
0.900000  0.0     0.0       2.1748e+03  3.480e-02  3.480e-02  1.1363e+11  1.1363e+11  1.1363e+13  1.1363e+17  0.0       0.0      0.0
1.000000  0.0     0.0       1.9539e+03  3.126e-02  3.126e-02  8.9488e+10  8.9488e+10  8.9488e+12  8.9488e+16  0.0       0.0      0.0
