NREL 5MW on the OC4 DeepCwind floating semi-submersible — tower section properties
11         n_secs:     number of stations at which properties are specified (-)

sec_loc  str_tw  tw_iner   mass_den  flp_iner  edge_iner  flp_stff   edge_stff   tor_stff   axial_stff  cg_offst  sc_offst tc_offst
(-)      (deg)   (deg)     (kg/m)    (kg-m)    (kg-m)     (Nm^2)     (Nm^2)      (Nm^2)     (N)         (m)       (m)      (m)
0.000000  0.0     0.0       4.6670e+03  2.444e+04  2.444e+04  6.0390e+11  6.0390e+11  4.6454e+11  1.1530e+11  0.0       0.0      0.0
0.100000  0.0     0.0       4.3453e+03  2.095e+04  2.095e+04  5.1764e+11  5.1764e+11  3.9819e+11  1.0735e+11  0.0       0.0      0.0
0.200000  0.0     0.0       4.0348e+03  1.785e+04  1.785e+04  4.4092e+11  4.4092e+11  3.3917e+11  9.9682e+10  0.0       0.0      0.0
0.300000  0.0     0.0       3.7354e+03  1.510e+04  1.510e+04  3.7302e+11  3.7302e+11  2.8694e+11  9.2287e+10  0.0       0.0      0.0
0.400000  0.0     0.0       3.4473e+03  1.268e+04  1.268e+04  3.1324e+11  3.1324e+11  2.4095e+11  8.5169e+10  0.0       0.0      0.0
0.500000  0.0     0.0       3.1704e+03  1.056e+04  1.056e+04  2.6090e+11  2.6090e+11  2.0069e+11  7.8328e+10  0.0       0.0      0.0
0.600000  0.0     0.0       2.9047e+03  8.717e+03  8.717e+03  2.1536e+11  2.1536e+11  1.6567e+11  7.1763e+10  0.0       0.0      0.0
0.700000  0.0     0.0       2.6502e+03  7.125e+03  7.125e+03  1.7603e+11  1.7603e+11  1.3541e+11  6.5475e+10  0.0       0.0      0.0
0.800000  0.0     0.0       2.4069e+03  5.760e+03  5.760e+03  1.4230e+11  1.4230e+11  1.0946e+11  5.9464e+10  0.0       0.0      0.0
0.900000  0.0     0.0       2.1748e+03  4.599e+03  4.599e+03  1.1363e+11  1.1363e+11  8.7408e+10  5.3730e+10  0.0       0.0      0.0
1.000000  0.0     0.0       1.9539e+03  3.622e+03  3.622e+03  8.9488e+10  8.9488e+10  6.8837e+10  4.8272e+10  0.0       0.0      0.0
