IEA-15-240-RWT on the UMaine VolturnUS-S floating semi-submersible — tower section properties
10         n_secs:     number of stations at which properties are specified (-)

sec_loc  str_tw  tw_iner   mass_den  flp_iner  edge_iner  flp_stff   edge_stff   tor_stff   axial_stff  cg_offst  sc_offst tc_offst
(-)      (deg)   (deg)     (kg/m)    (kg-m)    (kg-m)     (Nm^2)     (Nm^2)      (Nm^2)     (N)         (m)       (m)      (m)
0.000000  0.0     0.0       2.3006e+04  3.681e-01  3.681e-01  6.7705e+12  6.7705e+12  6.7705e+14  6.7705e+18  0.0       0.0      0.0
0.111403  0.0     0.0       2.0389e+04  3.262e-01  3.262e-01  6.0125e+12  6.0125e+12  6.0125e+14  6.0125e+18  0.0       0.0      0.0
0.222807  0.0     0.0       1.7746e+04  2.839e-01  2.839e-01  5.2438e+12  5.2438e+12  5.2438e+14  5.2438e+18  0.0       0.0      0.0
0.334210  0.0     0.0       1.5063e+04  2.410e-01  2.410e-01  4.4601e+12  4.4601e+12  4.4601e+14  4.4601e+18  0.0       0.0      0.0
0.445614  0.0     0.0       1.2342e+04  1.975e-01  1.975e-01  3.6623e+12  3.6623e+12  3.6623e+14  3.6623e+18  0.0       0.0      0.0
0.557017  0.0     0.0       9.6331e+03  1.541e-01  1.541e-01  2.8643e+12  2.8643e+12  2.8643e+14  2.8643e+18  0.0       0.0      0.0
0.668421  0.0     0.0       7.0270e+03  1.124e-01  1.124e-01  2.0936e+12  2.0936e+12  2.0936e+14  2.0936e+18  0.0       0.0      0.0
0.779824  0.0     0.0       4.6455e+03  7.433e-02  7.433e-02  1.3866e+12  1.3866e+12  1.3866e+14  1.3866e+18  0.0       0.0      0.0
0.891227  0.0     0.0       2.5961e+03  4.154e-02  4.154e-02  7.7611e+11  7.7611e+11  7.7611e+13  7.7611e+17  0.0       0.0      0.0
1.000000  0.0     0.0       1.7150e+03  2.744e-02  2.744e-02  3.4898e+11  3.4898e+11  3.4898e+13  3.4898e+17  0.0       0.0      0.0
