IEA-22-280-RWT on the IEA Wind Task 55 semi-submersible — blade section properties
59         n_secs:     number of stations at which properties are specified (-)

sec_loc  str_tw  tw_iner   mass_den  flp_iner  edge_iner  flp_stff   edge_stff   tor_stff   axial_stff  cg_offst  sc_offst tc_offst
(-)      (deg)   (deg)     (kg/m)    (kg-m)    (kg-m)     (Nm^2)     (Nm^2)      (Nm^2)     (N)         (m)       (m)      (m)
0.000000   12.0000   12.0000  3.6856e+03  5.897e-02  5.897e-02  2.1673e+11  2.1674e+11  2.1674e+13  2.1674e+17  0.0       0.0      0.0
0.017241   11.9993   11.9993  3.6859e+03  5.898e-02  5.898e-02  2.1673e+11  2.1680e+11  2.1680e+13  2.1680e+17  0.0       0.0      0.0
0.034483   11.9945   11.9945  2.5699e+03  4.112e-02  4.112e-02  1.4994e+11  1.4758e+11  1.4994e+13  1.4994e+17  0.0       0.0      0.0
0.051724   11.9826   11.9826  1.4860e+03  2.378e-02  2.378e-02  1.2929e+11  9.1857e+10  1.2929e+13  1.2929e+17  0.0       0.0      0.0
0.068966   11.9550   11.9550  1.2444e+03  1.991e-02  1.991e-02  1.0636e+11  9.0262e+10  1.0636e+13  1.0636e+17  0.0       0.0      0.0
0.086207   11.9066   11.9066  1.0936e+03  1.750e-02  1.750e-02  9.4151e+10  9.5438e+10  9.5438e+12  9.5438e+16  0.0       0.0      0.0
0.103448   11.8239   11.8239  9.6612e+02  1.546e-02  1.546e-02  8.2038e+10  8.9329e+10  8.9329e+12  8.9329e+16  0.0       0.0      0.0
0.120690   11.6921   11.6921  8.7485e+02  1.400e-02  1.400e-02  7.2662e+10  8.2234e+10  8.2234e+12  8.2234e+16  0.0       0.0      0.0
0.137931   11.4909   11.4909  8.3947e+02  1.343e-02  1.343e-02  6.0965e+10  8.0883e+10  8.0883e+12  8.0883e+16  0.0       0.0      0.0
0.155172   11.1815   11.1815  8.0919e+02  1.295e-02  1.295e-02  5.2752e+10  7.6861e+10  7.6861e+12  7.6861e+16  0.0       0.0      0.0
0.172414   10.7072   10.7072  7.8389e+02  1.254e-02  1.254e-02  4.5861e+10  7.1574e+10  7.1574e+12  7.1574e+16  0.0       0.0      0.0
0.189655    9.9536    9.9536  7.6696e+02  1.227e-02  1.227e-02  4.1950e+10  6.8470e+10  6.8470e+12  6.8470e+16  0.0       0.0      0.0
0.206897    8.8597    8.8597  7.5536e+02  1.209e-02  1.209e-02  3.7790e+10  6.6157e+10  6.6157e+12  6.6157e+16  0.0       0.0      0.0
0.224138    7.9556    7.9556  7.4104e+02  1.186e-02  1.186e-02  3.3811e+10  6.3713e+10  6.3713e+12  6.3713e+16  0.0       0.0      0.0
0.241379    7.2273    7.2273  7.2812e+02  1.165e-02  1.165e-02  3.1700e+10  6.1243e+10  6.1243e+12  6.1243e+16  0.0       0.0      0.0
0.258621    6.6549    6.6549  7.1351e+02  1.142e-02  1.142e-02  2.9579e+10  5.8385e+10  5.8385e+12  5.8385e+16  0.0       0.0      0.0
0.275862    6.1571    6.1571  6.9855e+02  1.118e-02  1.118e-02  2.7545e+10  5.5401e+10  5.5401e+12  5.5401e+16  0.0       0.0      0.0
0.293103    5.7108    5.7108  6.8673e+02  1.099e-02  1.099e-02  2.5614e+10  5.3968e+10  5.3968e+12  5.3968e+16  0.0       0.0      0.0
