IEA-22-280-RWT on the IEA Wind Task 55 semi-submersible — tower section properties
30         n_secs:     number of stations at which properties are specified (-)

sec_loc  str_tw  tw_iner   mass_den  flp_iner  edge_iner  flp_stff   edge_stff   tor_stff   axial_stff  cg_offst  sc_offst tc_offst
(-)      (deg)   (deg)     (kg/m)    (kg-m)    (kg-m)     (Nm^2)     (Nm^2)      (Nm^2)     (N)         (m)       (m)      (m)
0.000000  0.0     0.0       1.6249e+04  2.067e+05  2.067e+05  5.1067e+12  5.1067e+12  3.9282e+12  4.0145e+11  0.0       0.0      0.0
0.028324  0.0     0.0       1.5833e+04  2.015e+05  2.015e+05  4.9775e+12  4.9775e+12  3.8289e+12  3.9116e+11  0.0       0.0      0.0
0.063026  0.0     0.0       1.5266e+04  1.926e+05  1.926e+05  4.7590e+12  4.7590e+12  3.6607e+12  3.7716e+11  0.0       0.0      0.0
0.097729  0.0     0.0       1.4878e+04  1.840e+05  1.840e+05  4.5450e+12  4.5450e+12  3.4961e+12  3.6756e+11  0.0       0.0      0.0
0.132432  0.0     0.0       1.4534e+04  1.756e+05  1.756e+05  4.3375e+12  4.3375e+12  3.3365e+12  3.5908e+11  0.0       0.0      0.0
0.167134  0.0     0.0       1.4187e+04  1.673e+05  1.673e+05  4.1330e+12  4.1330e+12  3.1792e+12  3.5051e+11  0.0       0.0      0.0
0.201837  0.0     0.0       1.3837e+04  1.591e+05  1.591e+05  3.9314e+12  3.9314e+12  3.0242e+12  3.4186e+11  0.0       0.0      0.0
0.236540  0.0     0.0       1.3483e+04  1.511e+05  1.511e+05  3.7330e+12  3.7330e+12  2.8715e+12  3.3312e+11  0.0       0.0      0.0
0.271243  0.0     0.0       1.3126e+04  1.432e+05  1.432e+05  3.5377e+12  3.5377e+12  2.7213e+12  3.2429e+11  0.0       0.0      0.0
0.305945  0.0     0.0       1.2765e+04  1.354e+05  1.354e+05  3.3458e+12  3.3458e+12  2.5737e+12  3.1537e+11  0.0       0.0      0.0
0.340648  0.0     0.0       1.2400e+04  1.278e+05  1.278e+05  3.1572e+12  3.1572e+12  2.4286e+12  3.0635e+11  0.0       0.0      0.0
0.375351  0.0     0.0       1.2031e+04  1.203e+05  1.203e+05  2.9721e+12  2.9721e+12  2.2863e+12  2.9724e+11  0.0       0.0      0.0
0.410054  0.0     0.0       1.1658e+04  1.130e+05  1.130e+05  2.7907e+12  2.7907e+12  2.1467e+12  2.8802e+11  0.0       0.0      0.0
0.444756  0.0     0.0       1.1280e+04  1.058e+05  1.058e+05  2.6129e+12  2.6129e+12  2.0099e+12  2.7869e+11  0.0       0.0      0.0
0.479459  0.0     0.0       1.0898e+04  9.872e+04  9.872e+04  2.4389e+12  2.4389e+12  1.8760e+12  2.6925e+11  0.0       0.0      0.0
0.514162  0.0     0.0       1.0511e+04  9.183e+04  9.183e+04  2.2687e+12  2.2687e+12  1.7452e+12  2.5969e+11  0.0       0.0      0.0
0.548865  0.0     0.0       1.0119e+04  8.511e+04  8.511e+04  2.1026e+12  2.1026e+12  1.6174e+12  2.5001e+11  0.0       0.0      0.0
0.583567  0.0     0.0       9.7217e+03  7.855e+04  7.855e+04  1.9406e+12  1.9406e+12  1.4928e+12  2.4018e+11  0.0       0.0      0.0
0.618270  0.0     0.0       9.3180e+03  7.216e+04  7.216e+04  1.7828e+12  1.7828e+12  1.3714e+12  2.3021e+11  0.0       0.0      0.0
0.652973  0.0     0.0       8.9081e+03  6.595e+04  6.595e+04  1.6294e+12  1.6294e+12  1.2534e+12  2.2008e+11  0.0       0.0      0.0
0.687675  0.0     0.0       8.4905e+03  5.991e+04  5.991e+04  1.4802e+12  1.4802e+12  1.1386e+12  2.0977e+11  0.0       0.0      0.0
0.722378  0.0     0.0       8.0659e+03  5.407e+04  5.407e+04  1.3359e+12  1.3359e+12  1.0276e+12  1.9928e+11  0.0       0.0      0.0
0.757081  0.0     0.0       7.6292e+03  4.837e+04  4.837e+04  1.1951e+12  1.1951e+12  9.1934e+11  1.8849e+11  0.0       0.0      0.0
0.791784  0.0     0.0       7.1891e+03  4.296e+04  4.296e+04  1.0612e+12  1.0612e+12  8.1635e+11  1.7761e+11  0.0       0.0      0.0
0.826486  0.0     0.0       6.7142e+03  3.747e+04  3.747e+04  9.2567e+11  9.2567e+11  7.1205e+11  1.6588e+11  0.0       0.0      0.0
0.861189  0.0     0.0       6.2672e+03  3.199e+04  3.199e+04  7.9029e+11  7.9029e+11  6.0792e+11  1.5484e+11  0.0       0.0      0.0
0.895892  0.0     0.0       5.8867e+03  2.774e+04  2.774e+04  6.8537e+11  6.8537e+11  5.2721e+11  1.4544e+11  0.0       0.0      0.0
0.930595  0.0     0.0       5.6521e+03  2.590e+04  2.590e+04  6.3976e+11  6.3976e+11  4.9212e+11  1.3964e+11  0.0       0.0      0.0
0.965297  0.0     0.0       5.6521e+03  2.589e+04  2.589e+04  6.3976e+11  6.3976e+11  4.9212e+11  1.3964e+11  0.0       0.0      0.0
1.000000  0.0     0.0       5.6521e+03  2.589e+04  2.589e+04  6.3976e+11  6.3976e+11  4.9212e+11  1.3964e+11  0.0       0.0      0.0
