IFE UPSCALE 25MW (CentralTower) on a floating semi-submersible — blade section properties
53         n_secs:     number of stations at which properties are specified (-)

sec_loc  str_tw  tw_iner   mass_den  flp_iner  edge_iner  flp_stff   edge_stff   tor_stff   axial_stff  cg_offst  sc_offst tc_offst
(-)      (deg)   (deg)     (kg/m)    (kg-m)    (kg-m)     (Nm^2)     (Nm^2)      (Nm^2)     (N)         (m)       (m)      (m)
0.000000   15.5900   15.5900  3.3670e+03  5.387e-02  5.387e-02  2.7380e+11  2.7010e+11  2.7380e+13  2.7380e+17  0.0       0.0      0.0
0.020000   15.5900   15.5900  3.3780e+03  5.405e-02  5.405e-02  2.8090e+11  2.7200e+11  2.8090e+13  2.8090e+17  0.0       0.0      0.0
0.040000   15.4300   15.4300  3.3670e+03  5.387e-02  5.387e-02  2.6860e+11  2.7630e+11  2.7630e+13  2.7630e+17  0.0       0.0      0.0
0.060000   14.9900   14.9900  3.3400e+03  5.344e-02  5.344e-02  2.2550e+11  2.6490e+11  2.6490e+13  2.6490e+17  0.0       0.0      0.0
0.080000   14.3200   14.3200  3.0440e+03  4.870e-02  4.870e-02  1.7860e+11  2.3540e+11  2.3540e+13  2.3540e+17  0.0       0.0      0.0
0.100000   13.4900   13.4900  2.9150e+03  4.664e-02  4.664e-02  1.5090e+11  2.0110e+11  2.0110e+13  2.0110e+17  0.0       0.0      0.0
0.125020   12.2900   12.2900  2.1740e+03  3.478e-02  3.478e-02  1.1660e+11  1.4490e+11  1.4490e+13  1.4490e+17  0.0       0.0      0.0
0.150030   11.0200   11.0200  1.8220e+03  2.915e-02  2.915e-02  1.0590e+11  1.2380e+11  1.2380e+13  1.2380e+17  0.0       0.0      0.0
0.169030   10.0700   10.0700  1.6320e+03  2.611e-02  2.611e-02  1.0070e+11  1.1770e+11  1.1770e+13  1.1770e+17  0.0       0.0      0.0
0.188090    9.1900    9.1900  1.3930e+03  2.229e-02  2.229e-02  8.5780e+10  1.0420e+11  1.0420e+13  1.0420e+17  0.0       0.0      0.0
0.207090    8.4300    8.4300  1.2600e+03  2.016e-02  2.016e-02  7.3060e+10  1.0540e+11  1.0540e+13  1.0540e+17  0.0       0.0      0.0
0.226150    7.7800    7.7800  1.1030e+03  1.765e-02  1.765e-02  6.2550e+10  1.1560e+11  1.1560e+13  1.1560e+17  0.0       0.0      0.0
0.245150    7.1800    7.1800  1.0250e+03  1.640e-02  1.640e-02  5.5810e+10  1.1470e+11  1.1470e+13  1.1470e+17  0.0       0.0      0.0
0.266090    6.5300    6.5300  9.3310e+02  1.493e-02  1.493e-02  4.7290e+10  1.1190e+11  1.1190e+13  1.1190e+17  0.0       0.0      0.0
