IFE UPSCALE 25MW (CentralTower) on a floating semi-submersible — tower section properties
20         n_secs:     number of stations at which properties are specified (-)

sec_loc  str_tw  tw_iner   mass_den  flp_iner  edge_iner  flp_stff   edge_stff   tor_stff   axial_stff  cg_offst  sc_offst tc_offst
(-)      (deg)   (deg)     (kg/m)    (kg-m)    (kg-m)     (Nm^2)     (Nm^2)      (Nm^2)     (N)         (m)       (m)      (m)
0.000000  0.0     0.0       3.4238e+04  7.506e+05  7.506e+05  1.8545e+13  1.8545e+13  1.4265e+13  8.4588e+11  0.0       0.0      0.0
0.100323  0.0     0.0       3.4114e+04  7.425e+05  7.425e+05  1.8344e+13  1.8344e+13  1.4111e+13  8.4281e+11  0.0       0.0      0.0
0.100330  0.0     0.0       3.4114e+04  7.425e+05  7.425e+05  1.8344e+13  1.8344e+13  1.4111e+13  8.4281e+11  0.0       0.0      0.0
0.200645  0.0     0.0       3.4124e+04  7.432e+05  7.432e+05  1.8360e+13  1.8360e+13  1.4123e+13  8.4306e+11  0.0       0.0      0.0
0.200653  0.0     0.0       3.4124e+04  7.432e+05  7.432e+05  1.8360e+13  1.8360e+13  1.4123e+13  8.4306e+11  0.0       0.0      0.0
0.300968  0.0     0.0       3.3986e+04  7.342e+05  7.342e+05  1.8138e+13  1.8138e+13  1.3953e+13  8.3965e+11  0.0       0.0      0.0
0.300975  0.0     0.0       1.2350e+04  2.697e+05  2.697e+05  6.6621e+12  6.6621e+12  5.1247e+12  3.0512e+11  0.0       0.0      0.0
0.401290  0.0     0.0       1.1852e+04  2.383e+05  2.383e+05  5.8884e+12  5.8884e+12  4.5296e+12  2.9282e+11  0.0       0.0      0.0
0.401298  0.0     0.0       1.1064e+04  2.226e+05  2.226e+05  5.4993e+12  5.4993e+12  4.2302e+12  2.7336e+11  0.0       0.0      0.0
0.501613  0.0     0.0       1.0623e+04  1.970e+05  1.970e+05  4.8671e+12  4.8671e+12  3.7439e+12  2.6245e+11  0.0       0.0      0.0
0.501621  0.0     0.0       9.8664e+03  1.830e+05  1.830e+05  4.5224e+12  4.5224e+12  3.4788e+12  2.4376e+11  0.0       0.0      0.0
0.601935  0.0     0.0       9.6458e+03  1.710e+05  1.710e+05  4.2257e+12  4.2257e+12  3.2506e+12  2.3831e+11  0.0       0.0      0.0
0.601943  0.0     0.0       8.5357e+03  1.515e+05  1.515e+05  3.7419e+12  3.7419e+12  2.8784e+12  2.1088e+11  0.0       0.0      0.0
0.702258  0.0     0.0       8.3348e+03  1.410e+05  1.410e+05  3.4839e+12  3.4839e+12  2.6799e+12  2.0592e+11  0.0       0.0      0.0
0.702266  0.0     0.0       7.2501e+03  1.227e+05  1.227e+05  3.0326e+12  3.0326e+12  2.3327e+12  1.7912e+11  0.0       0.0      0.0
0.802581  0.0     0.0       6.9756e+03  1.093e+05  1.093e+05  2.7010e+12  2.7010e+12  2.0777e+12  1.7234e+11  0.0       0.0      0.0
0.802588  0.0     0.0       6.2795e+03  9.846e+04  9.846e+04  2.4326e+12  2.4326e+12  1.8712e+12  1.5514e+11  0.0       0.0      0.0
0.902903  0.0     0.0       5.4679e+03  6.501e+04  6.501e+04  1.6060e+12  1.6060e+12  1.2354e+12  1.3509e+11  0.0       0.0      0.0
0.902911  0.0     0.0       6.3766e+03  7.575e+04  7.575e+04  1.8714e+12  1.8714e+12  1.4395e+12  1.5754e+11  0.0       0.0      0.0
1.000000  0.0     0.0       5.6595e+03  5.296e+04  5.296e+04  1.3084e+12  1.3084e+12  1.0064e+12  1.3982e+11  0.0       0.0      0.0
